Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
$$CASH_TX,,,,,,,,,20251024,,556.53,,,,conto degiro,DEPOSIT
$$CASH_TX,,,,,,,,,20251024,,71379.0,,,,banca,DEPOSIT
$$CASH_TX,,,,,,,,,20251024,,15.94,,,,kraken,DEPOSIT
ASST,1.555,2025/10/27,10:16 EDT,0.45499992,1.45,1.59,1.35,449728216,20251027,1.56,100.0,0.0,0.0,0.0,,
MIST,1.89,2025/10/27,10:16 EDT,0.00999999,1.93,1.95,1.89,183965,,,,,,,,
ISP.MI,5.563,2025/10/27,15:01 CET,0.10100031,5.488,5.573,5.482,23199352,20251024,3.9635,100.0,2.0,,,,
SCNX,1.2099,2025/10/27,10:16 EDT,-0.36010003,1.4051,1.44,1.2,6464718,20251023,1.285,50.0,0.0,,,,
DOGE-USD,0.20206296,2025/10/27,14:14 UTC,-7.8102946E-4,0.20567496,0.20927438,0.20145258,2062194176,20251023,0.2017,985.52,1.98,,,,
XDEM.MI,69.69,2025/10/27,14:56 CET,0.40000153,69.71,69.78,69.6,1473,20251022,55.992,39.0,2.0,,,,
SPYA.BE,89.52,2025/10/27,14:15 CET,1.0999985,89.05,89.52,89.05,0,20251022,70.6107,26.0,2.0,,,,
NVD.DE,164.14,2025/10/27,15:01 CET,4.880005,163.42,164.3,163.14,65853,20251022,101.856,11.0,2.0,,,,
ASML,1052.04,2025/10/27,10:16 EDT,18.940063,1050.0,1055.25,1049.3644,288213,20251022,1006.96,2.0,2.0,,,,
BYND,2.0701,2025/10/27,10:16 EDT,-0.114899874,1.995,2.23,1.88,139438802,20251023,5.147,425.0,0.0,,,,
